cylinders,displacement,drive,gas,make,model,transmission,city,highway,type,year
4,2,All-Wheel Drive,Premium,BMW,228i xDrive Gran Coupe,Automatic,29.6036,47.5522,Compact,2023
4,2,Front-Wheel Drive,Premium,BMW,228i Gran Coupe,Automatic,31.3358,49.4781,Compact,2023
6,3,All-Wheel Drive,Premium,BMW,M340i xDrive Sedan,Automatic,29.138,45.5617,Compact,2023
6,3,Rear-Wheel Drive,Premium,BMW,M3 Sedan,Automatic,19.8955,32.4972,Compact,2023
6,3,Rear-Wheel Drive,Premium,BMW,M3 Competition Sedan,Automatic,20.182,32.0616,Compact,2023
6,3,All-Wheel Drive,Premium,BMW,M3 Competition M xDrive Sedan,Automatic,20.055,31.2954,Compact,2023
6,3,Rear-Wheel Drive,Premium,BMW,M440i Gran Coupe,Automatic,30.9466,46.4009,Compact,2023
6,3,All-Wheel Drive,Premium,BMW,M440i xDrive Gran Coupe,Automatic,28.2779,43.89,Compact,2023
6,3,Rear-Wheel Drive,Premium,BMW,M340i Sedan,Automatic,29.2724,45,Compact,2023
4,2,Rear-Wheel Drive,Premium,BMW,430i Gran Coupe,Automatic,31.876,48.9726,Compact,2023
4,2,All-Wheel Drive,Premium,Audi,A4 S-Line quattro,Automatic,31.2409,45.2772,Compact,2023
4,2,All-Wheel Drive,Premium,Audi,A4 quattro,Automatic,30.9654,48.2734,Compact,2023
4,2,All-Wheel Drive,Premium,Mercedes-Benz,CLA250 4matic,Automatic,30.8,48.4,Compact,2023
4,2,Front-Wheel Drive,Premium,Mercedes-Benz,CLA250,Automatic,31.9,52.1,Compact,2023
4,2,All-Wheel Drive,Premium,BMW,M235i xDrive Gran Coupe,Automatic,30.7798,47.4375,Compact,2023
4,2,Rear-Wheel Drive,Premium,BMW,330i Sedan,Automatic,32.8405,49.722,Compact,2023
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,C300,Automatic,32.2499,51.8983,Compact,2023
4,2,All-Wheel Drive,Premium,Mercedes-Benz,C300 4matic,Automatic,30.9493,48.2495,Compact,2023
6,3,All-Wheel Drive,Premium,Mercedes-Benz,CLS450 4matic,Automatic,28,42.2,Compact,2023
4,2,All-Wheel Drive,Premium,BMW,330i xDrive Sedan,Automatic,30.7875,48.46,Compact,2023
4,2,All-Wheel Drive,Premium,Mercedes-Benz,AMG CLA45 4matic,Automatic,24.8,40.5,Compact,2023
6,3,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 43 4matic Plus,Automatic,24.0499,33.8,Compact,2023
6,3,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 53 4matic Plus,Automatic,24.0499,33.8,Compact,2023
4,2,Rear-Wheel Drive,Hybrid,BMW,530e Sedan,Automatic,32.2,41.8,Compact,2023
4,2,All-Wheel Drive,Hybrid,BMW,530e xDrive Sedan,Automatic,29.5,40.5,Compact,2023
4,2,All-Wheel Drive,Premium,Mercedes-Benz,AMG CLA35 4matic,Automatic,26.2,41.3,Compact,2023
8,4,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 4matic Plus,Automatic,18,28.6,Compact,2023
8,4,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 S 4matic Plus,Automatic,18,28.6,Compact,2023
4,2,Rear-Wheel Drive,Premium,BMW,430i Gran Coupe,Automatic,32.0715,49.0233,Compact,2024
4,2,All-Wheel Drive,Premium,BMW,430i xDrive Gran Coupe,Automatic,30.0376,47.9891,Compact,2024
6,3,Rear-Wheel Drive,Premium,BMW,M440i Gran Coupe,Automatic,30.5928,45.6126,Compact,2024
6,3,All-Wheel Drive,Premium,BMW,M440i xDrive Gran Coupe,Automatic,28.0528,43.4014,Compact,2024
4,2,All-Wheel Drive,Premium,Mercedes-Benz,AMG C43 4matic,Automatic,24.5491,36.8,Compact,2023
6,3,All-Wheel Drive,Premium,BMW,M3 CS Sedan,Automatic,18.9959,31.0335,Compact,2024
4,2,All-Wheel Drive,Premium,Audi,A4 quattro,Automatic,32.4826,49.7014,Compact,2024
4,2,All-Wheel Drive,Premium,BMW,228i xDrive Gran Coupe,Automatic,29.6024,47.5469,Compact,2024
4,2,Front-Wheel Drive,Premium,BMW,228i Gran Coupe,Automatic,31.3357,49.4776,Compact,2024
4,2,All-Wheel Drive,Premium,BMW,M235i xDrive Gran Coupe,Automatic,30.7778,47.4325,Compact,2024
4,2,Rear-Wheel Drive,Premium,BMW,330i Sedan,Automatic,32.8405,49.722,Compact,2024
4,2,All-Wheel Drive,Premium,BMW,330i xDrive Sedan,Automatic,30.7874,48.4596,Compact,2024
6,3,Rear-Wheel Drive,Premium,BMW,M3 Sedan,Automatic,19.8955,32.4972,Compact,2024
6,3,Rear-Wheel Drive,Premium,BMW,M3 Competition Sedan,Automatic,20.182,32.0616,Compact,2024
6,3,All-Wheel Drive,Premium,BMW,M3 Competition M xDrive Sedan,Automatic,20.055,31.2954,Compact,2024
6,3,Rear-Wheel Drive,Premium,BMW,M340i Sedan,Automatic,29.2724,45,Compact,2024
6,3,All-Wheel Drive,Premium,BMW,M340i xDrive Sedan,Automatic,28.9434,45.1294,Compact,2024
0,0,Rear-Wheel Drive,Electricity,BMW,i5 eDrive40 Sedan (19 inch Wheels),Automatic,149,150.1,Compact,2024
0,0,Rear-Wheel Drive,Electricity,BMW,i5 eDrive40 Sedan (20 inch Wheels),Automatic,141.8,139.5,Compact,2024
0,0,Rear-Wheel Drive,Electricity,BMW,i5 eDrive40 Sedan (21 inch Wheels),Automatic,138.8,133.8,Compact,2024
0,0,4-Wheel Drive,Electricity,BMW,i5 M60 xDrive Sedan (19 inch Wheels),Automatic,126.5,130.6,Compact,2024
0,0,4-Wheel Drive,Electricity,BMW,i5 M60 xDrive Sedan (20 inch Wheels),Automatic,125.5,126.4,Compact,2024
0,0,4-Wheel Drive,Electricity,BMW,i5 M60 xDrive Sedan (21 inch Wheels),Automatic,119.2,121,Compact,2024
4,2,All-Wheel Drive,Premium,Audi,A4 S line quattro,Automatic,29.9747,45.6356,Compact,2024
6,3,All-Wheel Drive,Premium,Audi,S4,Automatic,26.064,41,Compact,2024
6,3,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 43 4matic Plus,Automatic,24.0499,33.8,Compact,2024
6,3,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 53 4matic Plus,Automatic,24.0499,33.8,Compact,2024
4,2,Rear-Wheel Drive,Hybrid,BMW,330e Sedan,Automatic,34.8,46,Compact,2023
4,2,All-Wheel Drive,Hybrid,BMW,330e xDrive Sedan,Automatic,32.2,46,Compact,2023
4,2,Rear-Wheel Drive,Premium,Mercedes-Benz,C300,Automatic,33.8,52.8,Compact,2024
4,2,All-Wheel Drive,Premium,Mercedes-Benz,C300 4matic,Automatic,29.8,47.9,Compact,2024
4,2,All-Wheel Drive,Premium,Mercedes-Benz,AMG CLA35 4matic,Automatic,27.7,41.8,Compact,2024
4,2,All-Wheel Drive,Premium,Mercedes-Benz,AMG CLA45 S 4matic,Automatic,25,40.1,Compact,2024
4,2,All-Wheel Drive,Premium,Mercedes-Benz,CLA250 4matic,Automatic,32,50.6,Compact,2024
4,2,Front-Wheel Drive,Premium,Mercedes-Benz,CLA250,Automatic,34.2,53.4,Compact,2024
8,4,All-Wheel Drive,Premium,Mercedes-Benz,AMG GT 63 4matic Plus,Automatic,19.0499,28.7997,Compact,2024
